Date_Checked,Seed_Keyword,Long_Tail_Keyword,Autocomplete_Rank
2026-08-10,gay shifter,gay shifter romance,1
2026-08-10,gay shifter,gay shifter mpreg,1
2026-08-10,mm omegaverse,mm omegaverse short,1
2026-08-10,mm omegaverse,mm omegaverse audiobooks,1
2026-08-10,mm omegaverse,mm omegaverse books,1
2026-08-10,mm omegaverse,mm omegaverse fantasy,1
2026-08-10,mm omegaverse,mm omegaverse hockey,1
2026-08-10,mm omegaverse,mm omegaverse knot,1
2026-08-10,mm omegaverse,mm omegaverse mafia romance marian black marian black,1
2026-08-10,mm omegaverse,mm omegaverse novella,1
2026-08-10,mm omegaverse,mm omegaverse paperback,1
2026-08-10,mm omegaverse,mm omegaverse with mpreg,1
2026-08-10,gay viking,gay viking romance,1
2026-08-10,gay monster romance,gay monster romance books,1
2026-08-10,mm paranormal,mm paranormal ageplay romance,1
2026-08-10,mm paranormal,mm paranormal detective,1
2026-08-10,mm paranormal,mm paranormal fantasy,1
2026-08-10,mm paranormal,mm paranormal mystery romance,1
2026-08-10,mm paranormal,mm paranormal romance series,1
2026-08-10,mm paranormal,mm paranormal wizards,1
